Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
76,,,,,,,,,5 December 2019,17:29
77,,,,,,,,,17 December 2019,00:10
78,,,,,,,,,7 January 2020,02:19:21
79,,,,,,,,,19 January 2020,15:30
80,,,,,,,,,29 January 2020,14:07
81,,,,,,,,,17 February 2020,15:05
82,,,,,,,,,7 March 2020,04:50
83,,,,,,,,,18 March 2020,12:16
84,,,,,,,,,22 April 2020,19:30
85,,,,,,,,,30 May 2020,19:22
86,,,,,,,,,4 June 2020,01:25
87,,,,,,,,,13 June 2020,09:21
88,,,,,,,,,30 June 2020,20:10:46
89,,,,,,,,,20 July 2020,21:30
90,,,,,,,,,7 August 2020,05:12
91,,,,,,,,,18 August 2020,14:31
92,,,,,,,,,30 August 2020,23:18
93,,,,,,,,,3 September 2020,12:46:14
94,,,,,,,,,6 October 2020,11:29:34
95,,,,,,,,,18 October 2020,12:25:57
96,,,,,,,,,24 October 2020,15:31:34
97,,,,,,,,,5 November 2020,23:24:23
98,,,,,,,,,16 November 2020,00:27
99,,,,,,,,,21 November 2020,17:17:08
100,,,,,,,,,25 November 2020,02:13
101,,,,,,,,,6 December 2020,16:17:08
102,,,,,,,,,13 December 2020,17:30:00
103,,,,,,,,,19 December 2020,14:00:00
104,,,,,,,,,8 January 2021,02:15
105,,,,,,,,,20 January 2021,13:02
106,,,,,,,,,24 January 2021,15:00
1,,,,,,,,,4 June 2010,
2,,,,,,,,,8 December 2010,
3,,,,,,,,,22 May 2012,
4,,,,,,,,,8 October 2012,
5,,,,,,,,,1 March 2013,
6,,,,,,,,,29 September 2013,
7,,,,,,,,,3 December 2013,
8,,,,,,,,,6 January 2014,
9,,,,,,,,,18 April 2014,
10,,,,,,,,,14 July 2014,
11,,,,,,,,,5 August 2014,
12,,,,,,,,,7 September 2014,
13,,,,,,,,,21 September 2014,
14,,,,,,,,,10 January 2015,
15,,,,,,,,,11 February 2015,
16,,,,,,,,,2 March 2015,
17,,,,,,,,,14 April 2015,
18,,,,,,,,,27 April 2015,
19,,,,,,,,,28 June 2015,
20,,,,,,,,,22 December 2015,
21,,,,,,,,,17 January 2016,
22,,,,,,,,,4 March 2016,
23,,,,,,,,,8 April 2016,
24,,,,,,,,,6 May 2016,
25,,,,,,,,,27 May 2016,
26,,,,,,,,,15 June 2016,
27,,,,,,,,,18 July 2016,
28,,,,,,,,,14 August 2016,
29,,,,,,,,,14 January 2017,
30,,,,,,,,,19 February 2017,
31,,,,,,,,,16 March 2017,
32,,,,,,,,,30 March 2017,
33,,,,,,,,,1 May 2017,
34,,,,,,,,,15 May 2017,
35,,,,,,,,,3 June 2017,
36,,,,,,,,,23 June 2017,
37,,,,,,,,,25 June 2017,
38,,,,,,,,,5 July 2017,
39,,,,,,,,,14 August 2017,
40,,,,,,,,,24 August 2017,
41,,,,,,,,,7 September 2017,
42,,,,,,,,,9 October 2017,
43,,,,,,,,,11 October 2017,
44,,,,,,,,,30 October 2017,
45,,,,,,,,,15 December 2017,
46,,,,,,,,,23 December 2017,
47,,,,,,,,,8 January 2018,
48,,,,,,,,,31 January 2018,
49,,,,,,,,,22 February 2018,
50,,,,,,,,,6 March 2018,
51,,,,,,,,,30 March 2018,
52,,,,,,,,,2 April 2018,
53,,,,,,,,,18 April 2018,
54,,,,,,,,,11 May 2018,
55,,,,,,,,,22 May 2018,
56,,,,,,,,,4 June 2018,
57,,,,,,,,,29 June 2018,
58,,,,,,,,,22 July 2018,
59,,,,,,,,,25 July 2018,
60,,,,,,,,,7 August 2018,
61,,,,,,,,,10 September 2018,
62,,,,,,,,,8 October 2018,
63,,,,,,,,,15 November 2018,
64,,,,,,,,,3 December 2018,
65,,,,,,,,,5 December 2018,
66,,,,,,,,,23 December 2018,
67,,,,,,,,,11 January 2019,
68,,,,,,,,,22 February 2019,
69,,,,,,,,,2 March 2019,
70,,,,,,,,,4 May 2019,
71,,,,,,,,,24 May 2019,
72,,,,,,,,,12 June 2019,
73,,,,,,,,,25 July 2019,
74,,,,,,,,,6 August 2019,
75,,,,,,,,,11 November 2019,
76,,,,,,,,,5 December 2019,
77,,,,,,,,,17 December 2019,
78,,,,,,,,,7 January 2020,
79,,,,,,,,,19 January 2020,
80,,,,,,,,,29 January 2020,
81,,,,,,,,,17 February 2020,
82,,,,,,,,,7 March 2020,
83,,,,,,,,,18 March 2020,
84,,,,,,,,,22 April 2020,
85,,,,,,,,,30 May 2020,
86,,,,,,,,,4 June 2020,
87,,,,,,,,,13 June 2020,
88,,,,,,,,,30 June 2020,
89,,,,,,,,,20 July 2020,
90,,,,,,,,,7 August 2020,
91,,,,,,,,,18 August 2020,
92,,,,,,,,,30 August 2020,
93,,,,,,,,,3 September 2020,
94,,,,,,,,,6 October 2020,
95,,,,,,,,,18 October 2020,
96,,,,,,,,,24 October 2020,
97,,,,,,,,,5 November 2020,
98,,,,,,,,,16 November 2020,
99,,,,,,,,,21 November 2020,
100,,,,,,,,,25 November 2020,
101,,,,,,,,,6 December 2020,
102,,,,,,,,,13 December 2020,
103,,,,,,,,,19 December 2020,
104,,,,,,,,,8 January 2021,
105,,,,,,,,,20 January 2021,
106,,,,,,,,,24 January 2021,
1,,,,,,,,,4 June 2010,
2,,,,,,,,,8 December 2010,
3,,,,,,,,,22 May 2012,
4,,,,,,,,,8 October 2012,
5,,,,,,,,,1 March 2013,
6,,,,,,,,,29 September 2013,
7,,,,,,,,,3 December 2013,
8,,,,,,,,,6 January 2014,
9,,,,,,,,,18 April 2014,
10,,,,,,,,,14 July 2014,
11,,,,,,,,,5 August 2014,
12,,,,,,,,,7 September 2014,
13,,,,,,,,,21 September 2014,
14,,,,,,,,,10 January 2015,
15,,,,,,,,,11 February 2015,
16,,,,,,,,,2 March 2015,
17,,,,,,,,,14 April 2015,
18,,,,,,,,,27 April 2015,
19,,,,,,,,,28 June 2015,
20,,,,,,,,,22 December 2015,
21,,,,,,,,,17 January 2016,
22,,,,,,,,,4 March 2016,
23,,,,,,,,,8 April 2016,
24,,,,,,,,,6 May 2016,
25,,,,,,,,,27 May 2016,
26,,,,,,,,,15 June 2016,
27,,,,,,,,,18 July 2016,
28,,,,,,,,,14 August 2016,
29,,,,,,,,,14 January 2017,
30,,,,,,,,,19 February 2017,
31,,,,,,,,,16 March 2017,
32,,,,,,,,,30 March 2017,
33,,,,,,,,,1 May 2017,
34,,,,,,,,,15 May 2017,
35,,,,,,,,,3 June 2017,
36,,,,,,,,,23 June 2017,
37,,,,,,,,,25 June 2017,
38,,,,,,,,,5 July 2017,
39,,,,,,,,,14 August 2017,
40,,,,,,,,,24 August 2017,
41,,,,,,,,,7 September 2017,
42,,,,,,,,,9 October 2017,
43,,,,,,,,,11 October 2017,
44,,,,,,,,,30 October 2017,
45,,,,,,,,,15 December 2017,
46,,,,,,,,,23 December 2017,
47,,,,,,,,,8 January 2018,
48,,,,,,,,,31 January 2018,
49,,,,,,,,,22 February 2018,
50,,,,,,,,,6 March 2018,
51,,,,,,,,,30 March 2018,
52,,,,,,,,,2 April 2018,
53,,,,,,,,,18 April 2018,
54,,,,,,,,,11 May 2018,
55,,,,,,,,,22 May 2018,
56,,,,,,,,,4 June 2018,
57,,,,,,,,,29 June 2018,
58,,,,,,,,,22 July 2018,
59,,,,,,,,,25 July 2018,
60,,,,,,,,,7 August 2018,
61,,,,,,,,,10 September 2018,
62,,,,,,,,,8 October 2018,
63,,,,,,,,,15 November 2018,
64,,,,,,,,,3 December 2018,
65,,,,,,,,,5 December 2018,
66,,,,,,,,,23 December 2018,
67,,,,,,,,,11 January 2019,
68,,,,,,,,,22 February 2019,
69,,,,,,,,,2 March 2019,
70,,,,,,,,,4 May 2019,
71,,,,,,,,,24 May 2019,
72,,,,,,,,,12 June 2019,
73,,,,,,,,,25 July 2019,
74,,,,,,,,,6 August 2019,
75,,,,,,,,,11 November 2019,
76,,,,,,,,,5 December 2019,
77,,,,,,,,,17 December 2019,
78,,,,,,,,,7 January 2020,
79,,,,,,,,,19 January 2020,
80,,,,,,,,,29 January 2020,
81,,,,,,,,,17 February 2020,
82,,,,,,,,,7 March 2020,
83,,,,,,,,,18 March 2020,
84,,,,,,,,,22 April 2020,
85,,,,,,,,,30 May 2020,
86,,,,,,,,,4 June 2020,
87,,,,,,,,,13 June 2020,
88,,,,,,,,,30 June 2020,
89,,,,,,,,,20 July 2020,
90,,,,,,,,,7 August 2020,
91,,,,,,,,,18 August 2020,
92,,,,,,,,,30 August 2020,
93,,,,,,,,,3 September 2020,
94,,,,,,,,,6 October 2020,
95,,,,,,,,,18 October 2020,
96,,,,,,,,,24 October 2020,
97,,,,,,,,,5 November 2020,
98,,,,,,,,,16 November 2020,
99,,,,,,,,,21 November 2020,
100,,,,,,,,,25 November 2020,
101,,,,,,,,,6 December 2020,
102,,,,,,,,,13 December 2020,
103,,,,,,,,,19 December 2020,
104,,,,,,,,,8 January 2021,
105,,,,,,,,,20 January 2021,
106,,,,,,,,,24 January 2021,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
